time,time_of_day,csvrate
"May 27, 2015",19:42,239.2
"May 27, 2015",19:42,239.2
"May 27, 2015",19:42,239.2
"May 27, 2015",19:43,239.2
"May 27, 2015",19:43,239.2
"May 27, 2015",19:43,239.2
"May 27, 2015",19:43,239.2
"May 27, 2015",19:43,239.2
"May 27, 2015",19:43,239.2
time,time_of_day,csvrate
"May 27, 2015",19:46,239.21
"May 27, 2015",19:46,239.21
"May 27, 2015",19:46,239.21
"May 27, 2015",19:47,239.21
"May 27, 2015",19:47,239.21
"May 27, 2015",19:47,239.21
"May 27, 2015",19:47,239.03
"May 27, 2015",19:47,239.03
"May 27, 2015",19:47,239.03
