time,time_of_day,price_bid,price_ask
"May 27, 2015",19:42,,237.63
"May 27, 2015",19:42,,237.63
"May 27, 2015",19:42,,237.63
"May 27, 2015",19:43,,237.63
"May 27, 2015",19:43,,237.63
"May 27, 2015",19:43,,237.63
"May 27, 2015",19:43,,237.63
"May 27, 2015",19:43,,237.63
"May 27, 2015",19:43,,237.63
time,time_of_day,price_bid,price_ask
"May 27, 2015",19:46,237.62,237.7
"May 27, 2015",19:46,237.62,237.7
"May 27, 2015",19:46,237.62,237.7
"May 27, 2015",19:47,237.63,237.7
"May 27, 2015",19:47,237.63,237.7
"May 27, 2015",19:47,237.63,237.7
"May 27, 2015",19:47,237.63,237.66
"May 27, 2015",19:47,237.63,237.64
"May 27, 2015",19:47,237.63,237.64
